Alter;Geschlecht;Einkommen;Internet_Affinit‰t;Dating_App;Partnersuche;Wohngegend
22;m;22427;11;no;yes;Groﬂstadt
24;m;12263;11;no;yes;Groﬂstadt
22;m;38037;11;no;yes;Groﬂstadt
22;w;23142;11;no;yes;Groﬂstadt
22;m;36971;11;no;yes;Kleinstadt
22;w;7481;11;no;yes;Groﬂstadt
23;m;22458;11;no;yes;Groﬂstadt
21;m;42598;11;no;yes;Groﬂstadt
21;m;21079;11;no;yes;Groﬂstadt
22;m;4433;11;no;yes;Groﬂstadt
23;w;12388;11;yes;yes;Groﬂstadt
23;m;9066;11;no;yes;Groﬂstadt
19;m;1436;11;no;yes;Groﬂstadt
22;w;16848;11;yes;yes;Groﬂstadt
20;m;32203;11;no;yes;Groﬂstadt
22;m;31736;11;no;yes;Groﬂstadt
23;m;7833;11;no;yes;Groﬂstadt
22;m;19571;11;no;yes;Groﬂstadt
22;m;20572;11;no;yes;Groﬂstadt
21;m;12997;11;no;yes;Groﬂstadt
22;m;16400;11;no;yes;Groﬂstadt
21;m;3236;11;no;yes;Groﬂstadt
21;m;1987;11;no;yes;Groﬂstadt
24;m;44060;11;no;yes;Groﬂstadt
20;w;16420;11;no;yes;Groﬂstadt
22;m;25634;11;no;yes;Kleinstadt
22;m;46658;11;no;no;Groﬂstadt
24;m;9751;11;yes;yes;Groﬂstadt
21;m;15766;11;no;yes;Groﬂstadt
21;m;15376;11;no;yes;Groﬂstadt
22;m;5480;11;no;yes;Groﬂstadt
23;m;18560;11;no;yes;Land
22;m;7501;11;no;yes;Groﬂstadt
23;m;29709;11;no;no;Groﬂstadt
21;m;18633;11;no;yes;Groﬂstadt
20;m;19123;11;no;no;Groﬂstadt
20;m;13251;11;no;yes;Groﬂstadt
22;m;39034;11;no;yes;Kleinstadt
21;m;25999;11;no;yes;Groﬂstadt
24;m;17816;11;yes;yes;Groﬂstadt
22;m;17165;11;no;yes;Groﬂstadt
22;m;28869;11;no;yes;Groﬂstadt
21;m;13229;11;no;yes;Groﬂstadt
24;m;16104;11;no;no;Groﬂstadt
23;m;22772;11;no;yes;Groﬂstadt
21;m;20410;11;no;no;Groﬂstadt
20;m;27078;11;yes;yes;Groﬂstadt
23;m;35812;11;no;yes;Groﬂstadt
21;m;5515;11;no;no;Land
24;w;29604;11;no;yes;Groﬂstadt
24;m;19501;11;yes;no;Land
21;m;24602;11;no;yes;Groﬂstadt
22;m;27932;11;no;yes;Land
25;w;17060;11;no;yes;Vorstadt
22;m;25876;11;no;yes;Groﬂstadt
23;m;27187;11;no;yes;Groﬂstadt
21;m;13595;11;no;yes;Groﬂstadt
22;m;27949;11;no;yes;Vorstadt
22;m;29485;11;no;yes;Groﬂstadt
23;m;8286;11;no;yes;Land
22;m;24231;11;no;yes;Groﬂstadt
21;m;29775;11;no;yes;Groﬂstadt
21;m;27979;11;no;yes;Groﬂstadt
21;m;4298;11;no;yes;Groﬂstadt
24;m;16300;11;no;yes;Groﬂstadt
22;m;26592;11;no;yes;Groﬂstadt
22;m;17203;11;no;yes;Groﬂstadt
22;m;27020;11;yes;yes;Groﬂstadt
22;m;36545;11;no;yes;Groﬂstadt
23;m;26477;11;no;yes;Groﬂstadt
21;m;26393;11;no;yes;Kleinstadt
22;m;13149;11;no;yes;Land
20;m;17883;11;no;yes;Groﬂstadt
24;m;1388;11;no;yes;Groﬂstadt
21;m;15390;11;no;yes;Groﬂstadt
21;m;14278;11;no;yes;Groﬂstadt
22;m;23445;11;no;yes;Kleinstadt
22;m;24817;11;yes;yes;Groﬂstadt
22;m;31147;11;no;yes;Groﬂstadt
21;m;10348;11;no;yes;Groﬂstadt
22;w;16619;11;no;yes;Groﬂstadt
19;m;21533;11;no;yes;Groﬂstadt
23;m;33856;11;no;yes;Land
22;m;17023;11;no;yes;Groﬂstadt
22;m;41062;11;no;yes;Groﬂstadt
22;m;10457;11;no;no;Land
22;m;19580;11;no;yes;Groﬂstadt
20;m;18017;11;no;yes;Groﬂstadt
21;m;40682;11;no;yes;Groﬂstadt
21;m;29430;11;no;yes;Groﬂstadt
22;m;29624;11;no;yes;Groﬂstadt
21;m;34806;11;no;yes;Groﬂstadt
23;m;23114;11;no;yes;Groﬂstadt
22;m;17680;11;no;yes;Groﬂstadt
21;m;31015;11;no;yes;Land
22;w;15472;11;no;yes;Groﬂstadt
22;m;15352;11;no;yes;Groﬂstadt
22;m;32251;11;no;yes;Kleinstadt
22;m;28328;11;no;yes;Groﬂstadt
22;m;26893;11;no;yes;Groﬂstadt
23;m;27693;11;no;no;Groﬂstadt
22;w;40929;11;no;yes;Groﬂstadt
23;m;17517;11;no;yes;Groﬂstadt
20;m;18101;11;no;yes;Land
22;m;4456;11;no;yes;Groﬂstadt
20;m;1642;11;no;yes;Groﬂstadt
22;m;17798;11;no;yes;Groﬂstadt
24;m;23185;11;no;yes;Groﬂstadt
24;m;22466;11;no;yes;Groﬂstadt
21;m;21250;11;no;yes;Land
21;m;5086;11;no;yes;Groﬂstadt
24;m;31637;11;no;no;Groﬂstadt
22;m;23239;11;no;yes;Groﬂstadt
22;m;30683;11;no;yes;Groﬂstadt
23;w;20810;11;no;no;Groﬂstadt
22;m;24695;11;no;yes;Groﬂstadt
22;m;19506;11;no;yes;Groﬂstadt
21;w;18802;11;no;yes;Kleinstadt
22;w;29731;11;no;yes;Groﬂstadt
21;m;27075;11;no;yes;Kleinstadt
22;m;6932;11;yes;yes;Vorstadt
20;m;20489;11;no;yes;Groﬂstadt
22;m;27592;11;no;yes;Land
23;m;9049;11;no;yes;Groﬂstadt
25;m;31914;11;no;yes;Groﬂstadt
23;m;34173;11;no;no;Land
23;m;10007;11;no;yes;Vorstadt
21;m;8986;11;yes;yes;Land
22;m;12648;11;yes;yes;Dorf
20;m;30151;11;no;yes;Groﬂstadt
23;m;17520;11;no;yes;Groﬂstadt
24;m;14650;11;no;yes;Groﬂstadt
20;m;23961;11;yes;yes;Groﬂstadt
24;m;29765;11;no;yes;Groﬂstadt
22;m;9009;11;no;yes;Groﬂstadt
21;m;13246;11;no;yes;Groﬂstadt
24;m;16811;11;no;yes;Groﬂstadt
23;m;32298;11;no;no;Groﬂstadt
22;m;7609;11;no;yes;Vorstadt
21;m;15721;11;no;yes;Dorf
21;m;35424;11;no;yes;Land
23;m;25625;11;no;yes;Groﬂstadt
20;m;10447;11;no;yes;Kleinstadt
22;m;42023;11;no;yes;Groﬂstadt
21;m;24567;11;yes;yes;Dorf
21;m;28165;11;no;yes;Groﬂstadt
22;m;35227;11;no;yes;Kleinstadt
21;m;26929;11;no;yes;Groﬂstadt
21;m;346;11;no;yes;Groﬂstadt
23;m;18373;11;no;yes;Groﬂstadt
21;m;8701;11;no;no;Groﬂstadt
21;m;33918;11;no;yes;Land
21;m;24004;11;no;yes;Land
21;w;25407;11;no;yes;Groﬂstadt
23;m;20574;11;yes;yes;Groﬂstadt
21;m;25171;11;no;yes;Kleinstadt
21;m;19845;11;no;yes;Groﬂstadt
22;m;18527;11;no;yes;Land
22;m;36726;11;no;yes;Groﬂstadt
21;w;28013;11;no;yes;Groﬂstadt
22;w;29968;11;no;yes;Groﬂstadt
24;m;9389;11;no;yes;Kleinstadt
23;w;12270;11;no;no;Kleinstadt
23;m;25720;11;no;yes;Land
22;m;13647;11;no;yes;Groﬂstadt
22;m;1473;11;no;yes;Groﬂstadt
22;m;23280;11;no;yes;Land
22;m;29688;11;yes;yes;Groﬂstadt
23;m;22883;11;no;yes;Land
23;m;3874;11;yes;yes;Groﬂstadt
21;m;30401;11;no;yes;Land
22;w;11421;11;no;yes;Groﬂstadt
21;m;16312;11;no;yes;Groﬂstadt
22;m;15879;11;no;no;Groﬂstadt
22;m;28308;11;no;yes;Groﬂstadt
23;m;27814;11;no;yes;Groﬂstadt
22;m;9763;11;no;yes;Groﬂstadt
23;m;11312;11;no;yes;Groﬂstadt
21;w;12412;11;no;yes;Groﬂstadt
22;m;17094;11;no;yes;Kleinstadt
25;m;7866;11;yes;yes;Groﬂstadt
22;w;24233;11;no;yes;Vorstadt
21;m;21015;11;no;yes;Groﬂstadt
21;m;33781;11;no;yes;Kleinstadt
23;m;4462;11;no;yes;Groﬂstadt
23;w;10735;11;no;yes;Groﬂstadt
23;m;30635;11;no;yes;Land
23;w;21732;11;no;yes;Groﬂstadt
22;m;27631;11;no;yes;Vorstadt
24;m;8475;11;no;yes;Groﬂstadt
22;m;31467;11;no;yes;Groﬂstadt
22;m;22781;11;no;yes;Groﬂstadt
21;m;18539;11;yes;yes;Kleinstadt
23;w;11370;11;no;yes;Groﬂstadt
21;m;22834;11;yes;yes;Groﬂstadt
22;m;2842;11;no;yes;Kleinstadt
22;m;30100;11;no;yes;Groﬂstadt
22;m;9637;11;no;yes;Groﬂstadt
22;m;242;11;no;yes;Groﬂstadt
22;m;14795;11;no;yes;Groﬂstadt
20;m;16427;11;no;yes;Land
23;m;22628;11;no;yes;Vorstadt
21;m;12916;11;no;yes;Groﬂstadt
23;m;11484;11;no;yes;Land
23;m;34244;11;no;yes;Groﬂstadt
23;m;20431;11;no;yes;Groﬂstadt
22;m;18634;11;no;yes;Land
23;m;39463;11;no;yes;Land
20;m;12240;11;no;yes;Vorstadt
24;m;11352;11;no;yes;Groﬂstadt
23;m;30057;11;no;yes;Groﬂstadt
23;m;35510;11;no;yes;Groﬂstadt
23;m;32249;11;no;yes;Groﬂstadt
23;m;33963;11;no;yes;Land
20;m;27582;11;yes;yes;Groﬂstadt
23;m;16290;11;no;yes;Groﬂstadt
22;m;12566;11;no;yes;Groﬂstadt
21;w;16685;11;no;yes;Land
22;m;32199;11;no;yes;Land
42;m;81152;5;yes;yes;Vorstadt
43;m;126361;5;yes;yes;Dorf
41;m;124993;5;no;yes;Vorstadt
43;m;83293;5;yes;yes;Vorstadt
41;m;84285;4;no;yes;Vorstadt
44;m;102448;5;yes;yes;Vorstadt
42;m;97503;5;yes;yes;Vorstadt
41;m;87555;4;no;yes;Land
43;m;88806;5;yes;yes;Vorstadt
41;m;70071;5;yes;yes;Vorstadt
43;w;108931;5;yes;yes;Land
42;m;91425;5;yes;yes;Vorstadt
41;m;96792;5;yes;no;Vorstadt
43;m;110281;5;yes;yes;Vorstadt
43;m;105009;5;yes;yes;Vorstadt
43;m;96721;4;yes;yes;Vorstadt
42;m;94257;5;yes;yes;Vorstadt
44;m;97321;5;yes;yes;Vorstadt
42;m;106222;5;yes;yes;Vorstadt
43;m;88225;5;yes;yes;Vorstadt
40;m;121457;5;yes;yes;Land
41;m;82965;5;yes;yes;Land
43;w;78967;5;yes;yes;Vorstadt
41;m;81950;5;no;yes;Vorstadt
42;m;84643;5;yes;yes;Vorstadt
43;m;101098;5;yes;yes;Vorstadt
43;m;119838;5;yes;yes;Dorf
43;m;88788;5;yes;yes;Vorstadt
41;w;159441;6;yes;yes;Vorstadt
41;m;52104;4;yes;yes;Land
42;m;101173;4;yes;yes;Land
43;m;86608;6;yes;yes;Vorstadt
42;m;98170;5;yes;yes;Vorstadt
40;m;117114;5;no;yes;Vorstadt
42;m;118247;5;yes;yes;Groﬂstadt
43;m;95672;5;yes;no;Vorstadt
42;m;85911;5;yes;yes;Vorstadt
42;m;120125;5;no;yes;Kleinstadt
41;m;137822;5;yes;yes;Vorstadt
43;w;72673;5;no;yes;Vorstadt
41;w;116835;4;yes;yes;Groﬂstadt
40;m;118306;5;yes;no;Dorf
44;m;88933;5;yes;yes;Kleinstadt
41;w;93663;4;yes;yes;Vorstadt
41;m;89362;4;yes;yes;Vorstadt
42;m;106541;5;yes;yes;Vorstadt
43;m;111752;5;yes;yes;Vorstadt
43;m;136580;5;no;yes;Vorstadt
41;m;111638;5;yes;yes;Vorstadt
40;m;77448;6;yes;yes;Vorstadt
42;m;90689;5;yes;yes;Vorstadt
40;m;136638;5;yes;yes;Vorstadt
43;m;122797;5;yes;yes;Vorstadt
41;m;132209;5;yes;yes;Vorstadt
43;m;125786;5;yes;yes;Vorstadt
42;m;120520;5;yes;yes;Vorstadt
43;m;108955;5;yes;yes;Vorstadt
42;m;99621;6;yes;yes;Kleinstadt
43;m;95612;5;yes;no;Vorstadt
42;w;105639;5;yes;yes;Vorstadt
41;m;125878;5;yes;yes;Land
40;m;94340;5;yes;yes;Vorstadt
42;m;114950;6;yes;yes;Vorstadt
41;m;91632;4;yes;yes;Vorstadt
41;m;86816;5;yes;yes;Vorstadt
42;m;127021;5;yes;yes;Vorstadt
41;w;113084;6;no;yes;Vorstadt
42;m;79319;6;yes;yes;Vorstadt
41;m;128167;6;yes;yes;Kleinstadt
43;m;108146;5;yes;yes;Vorstadt
42;m;105287;5;yes;yes;Vorstadt
41;m;108707;5;no;yes;Land
41;m;110674;4;yes;yes;Vorstadt
42;m;118692;5;yes;yes;Vorstadt
41;m;111625;5;no;yes;Vorstadt
43;m;88955;5;yes;yes;Vorstadt
41;m;121930;6;yes;yes;Vorstadt
42;m;132351;6;yes;yes;Land
43;m;65642;5;yes;yes;Vorstadt
43;m;83209;5;yes;yes;Kleinstadt
41;m;122797;5;yes;yes;Land
44;m;78030;5;yes;yes;Dorf
43;m;75200;6;no;yes;Vorstadt
42;w;120405;5;yes;yes;Vorstadt
43;m;109864;5;yes;yes;Vorstadt
43;m;108084;4;yes;yes;Vorstadt
42;m;96211;5;yes;yes;Land
42;w;45894;5;yes;yes;Vorstadt
43;m;107197;5;yes;yes;Kleinstadt
43;m;65818;5;yes;yes;Vorstadt
43;m;111458;5;yes;yes;Kleinstadt
42;m;131355;5;yes;yes;Vorstadt
42;m;113978;5;no;yes;Vorstadt
41;m;88179;5;yes;yes;Land
41;m;114672;5;yes;yes;Vorstadt
43;w;119408;5;no;yes;Land
42;m;99092;7;yes;yes;Vorstadt
41;m;124377;5;no;yes;Land
42;m;120846;5;yes;yes;Groﬂstadt
42;m;112378;5;yes;no;Vorstadt
42;m;114217;5;yes;yes;Vorstadt
40;w;116723;5;yes;yes;Vorstadt
42;m;113303;6;yes;yes;Vorstadt
43;m;82422;5;yes;yes;Vorstadt
41;m;65428;5;yes;yes;Land
42;m;94654;5;yes;yes;Vorstadt
41;m;106402;5;yes;yes;Vorstadt
42;w;84063;4;yes;yes;Vorstadt
43;m;79766;5;yes;yes;Vorstadt
42;m;116721;5;yes;no;Vorstadt
42;m;96381;4;yes;yes;Land
40;m;82878;5;yes;yes;Vorstadt
41;m;118645;6;yes;yes;Vorstadt
42;m;106166;5;yes;yes;Land
41;m;134596;5;yes;yes;Vorstadt
41;m;84318;5;yes;yes;Vorstadt
41;m;107565;4;yes;yes;Vorstadt
41;m;94072;4;yes;yes;Vorstadt
43;m;67715;4;no;yes;Vorstadt
43;w;69267;5;yes;yes;Land
42;m;98960;5;yes;no;Vorstadt
41;m;80321;5;yes;yes;Vorstadt
42;m;105315;5;yes;yes;Vorstadt
41;m;77426;5;yes;yes;Vorstadt
42;m;77815;5;yes;yes;Vorstadt
42;m;132500;5;yes;yes;Vorstadt
42;m;145070;4;yes;yes;Vorstadt
40;m;103918;5;yes;yes;Vorstadt
43;m;89326;5;yes;yes;Vorstadt
43;m;114707;6;yes;no;Land
42;m;81692;5;yes;yes;Vorstadt
43;m;116483;5;yes;yes;Land
42;m;93368;5;yes;yes;Vorstadt
42;m;90030;5;yes;yes;Vorstadt
42;w;89488;6;yes;yes;Vorstadt
44;m;83530;5;yes;yes;Vorstadt
41;m;76801;6;yes;yes;Vorstadt
44;m;81301;5;yes;yes;Kleinstadt
42;m;105205;5;yes;yes;Vorstadt
42;m;105684;5;yes;no;Groﬂstadt
41;m;97473;5;yes;no;Kleinstadt
42;m;108713;5;yes;yes;Vorstadt
43;m;110958;5;yes;yes;Vorstadt
41;m;116660;5;yes;yes;Vorstadt
42;m;73124;5;yes;yes;Vorstadt
43;m;90588;5;yes;yes;Vorstadt
43;m;99115;5;yes;yes;Kleinstadt
43;m;110475;5;yes;yes;Groﬂstadt
44;m;140169;6;yes;no;Vorstadt
43;m;89829;5;yes;yes;Vorstadt
40;m;84126;5;yes;yes;Vorstadt
44;m;95301;4;yes;yes;Vorstadt
42;m;94448;5;yes;yes;Vorstadt
40;m;145839;5;yes;yes;Vorstadt
41;m;88120;4;yes;yes;Vorstadt
45;m;97302;6;yes;yes;Land
41;m;133244;4;yes;yes;Vorstadt
41;m;114790;5;yes;yes;Vorstadt
40;w;129732;4;yes;yes;Groﬂstadt
41;w;105208;6;yes;yes;Vorstadt
42;m;79479;5;yes;yes;Groﬂstadt
43;m;81002;5;yes;yes;Vorstadt
43;m;79838;5;yes;yes;Vorstadt
43;w;89170;5;yes;yes;Groﬂstadt
41;m;111906;6;yes;yes;Kleinstadt
43;w;105390;5;yes;yes;Land
43;w;93312;6;yes;yes;Vorstadt
41;m;96730;5;yes;yes;Vorstadt
